Sex,search,intel_led,search_result,officer_race,officer_race3,officer_age,officergender,officer_gender,Age,RateViolentCrime_tract,RatePropertyCrime_tract,RateNarcoticsCrime_tract,escalation,correct_new_contains_intro_greeting,correct_new_intro,correct_new_greeting,correct_new_reason,correct_new_ID,correct_new_details,correct_new_sanction,correct_order_total,correct_new_history,correct_new_search,correct_new_help,correct_new_legitimacy,correct_new_closing,binary_correct_new_contains_intro_greeting,binary_correct_new_intro,binary_correct_new_greeting,binary_correct_new_reason,binary_correct_new_ID,binary_correct_new_details,binary_correct_new_sanction,binary_correct_order_total,binary_correct_new_history,binary_correct_new_search,binary_correct_new_help,binary_correct_new_legitimacy,binary_correct_new_closing
Male,0,0,3,W,White,29,0,F,31,308.8124529,1225.20713,100.426814,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,29,0,F,42,298.2292637,1099.72041,55.91798695,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,33,0,F,23,152.173913,467.3913043,10.86956522,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,33,0,F,56,152.173913,467.3913043,10.86956522,0,2,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
Male,0,0,3,W,White,33,0,F,24,230.2873987,681.6507001,22.10759027,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Male,0,0,3,W,White,33,0,F,49,152.173913,467.3913043,10.86956522,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,33,0,F,35,119.9520192,931.6273491,71.97121152,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,W,White,33,0,F,35,321.9913222,561.7720941,77.64329756,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,33,0,F,27,348.1359649,496.1622807,106.9078947,0,2,1,1,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,W,White,33,0,F,37,321.9913222,561.7720941,77.64329756,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,29,0,F,38,263.9368525,1369.018254,29.60039467,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,32,0,F,35,242.8547828,535.2717661,18.17280687,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,W,White,29,0,F,33,837.3205742,3732.057416,103.6682616,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,W,White,29,0,F,20,309.5666068,687.0381466,59.91611744,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,29,0,F,35,70.68452381,753.3482143,5.580357143,0,3,1,2,1,3,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,W,White,29,0,F,50,115.3212521,713.8934651,19.22020868,0,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,29,0,F,70,193.8726663,1110.579225,11.96744854,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,W,White,29,0,F,32,263.9368525,1369.018254,29.60039467,0,2,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0
Female,0,0,3,W,White,33,0,F,26,152.173913,467.3913043,10.86956522,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Male,1,0,0,W,White,32,0,F,18,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
Male,1,0,0,W,White,32,0,F,35,242.8547828,535.2717661,18.17280687,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,1,0,0,W,White,48,0,F,23,309.5666068,687.0381466,59.91611744,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Male,1,0,0,W,White,32,0,F,29,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Male,1,0,0,W,White,33,0,F,52,248.455731,466.7124228,54.90734386,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Female,0,1,3,A,Other,28,1,M,50,245.8558391,748.7427826,18.62544235,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Female,0,0,3,A,Other,43,1,M,19,284.0909091,579.004329,29.76190476,0,1,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,43,1,M,27,284.0909091,579.004329,29.76190476,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,30,1,M,29,132.2154144,328.9261529,35.47242825,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Female,0,0,3,A,Other,42,1,M,33,248.455731,466.7124228,54.90734386,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,42,1,M,24,121.9512195,609.7560976,34.14634146,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
